Sr_No,State,MP_Name,Constituency,Allocated_Amount,Constituency_Type,Deviation,Deviation_Pct,Allocation_Bucket
380.0,Uttar Pradesh,RAMESH AWASTHI,KANPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
381.0,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,SC,122500000.0,83.33,> ₹25 Cr (Very High)
382.0,Bihar,Ramprit Mandal,JHANJHARPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
383.0,Delhi,Ramvir Singh Bidhuri,SOUTH DELHI,147559100.0,General,559100.0,0.38,₹14.7-20 Cr (Moderately High)
384.0,Assam,RANJIT DUTTA,Sonitpur,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
385.0,Haryana,Rao Inderjit Singh,GURGAON,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
386.0,Rajasthan,Rao Rajendra Singh,JAIPUR RURAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
387.0,Bihar,Ravi Shankar Prasad,PATNA SAHIB,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
388.0,Maharashtra,RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
389.0,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,GORAKHPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
390.0,Maharashtra,Ravindra Vasantrao Chavan,NANDED,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
391.0,Mizoram,RICHARD VANLALHMANGAIHA,MIZORAM (ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
392.0,Tamil Nadu,ROBERT BRUCE C,TIRUNELVELI,147475440.11,General,475440.1100000143,0.32,₹14.7-20 Cr (Moderately High)
393.0,Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
394.0,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,General,6035414.0,4.11,₹14.7-20 Cr (Moderately High)
395.0,Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
396.0,Odisha,RUDRA NARAYAN PANY,DHENKANAL,155013957.11,General,8013957.110000014,5.45,₹14.7-20 Cr (Moderately High)
397.0,Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
398.0,Tamil Nadu,S Venkatesan,MADURAI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
399.0,Tamil Nadu,S. Jagathrakshakan,ARAKKONAM,180589332.34,General,33589332.34,22.85,₹14.7-20 Cr (Moderately High)
400.0,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
401.0,Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
402.0,Meghalaya,SALENG A SANGMA,TURA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
403.0,Odisha,SAMBIT PATRA,PURI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
404.0,Uttar Pradesh,SANATAN PANDEY,BALLIA,180420041.4,General,33420041.400000006,22.73,₹14.7-20 Cr (Moderately High)
405.0,Maharashtra,SANJAY DINA PATIL,MUMBAI NORTH EAST,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
406.0,Maharashtra,Sanjay Haribhau Jadhav,PARBHANI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
407.0,Bihar,Sanjay Jaiswal,PASCHIM CHAMPARAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
408.0,Telangana,Sanjay Kumar Bandi,KARIMNAGAR,172775317.11,General,25775317.110000014,17.53,₹14.7-20 Cr (Moderately High)
409.0,Jharkhand,Sanjay Seth,RANCHI,147064357.11,General,64357.110000014305,0.04,₹14.7-20 Cr (Moderately High)
410.0,Maharashtra,Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,185640423.0,General,38640423.0,26.29,₹14.7-20 Cr (Moderately High)
411.0,Rajasthan,SANJNA JATAV,BHARATPUR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
412.0,Chhattisgarh,Santosh Pandey,RAJNANDGAON,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
413.0,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,ST,122500000.0,83.33,> ₹25 Cr (Very High)
414.0,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,SC,3850348.150000006,2.62,₹14.7-20 Cr (Moderately High)
415.0,Tamil Nadu,Sasikanth Senthil,TIRUVALLUR(SC),171500000.0,SC,24500000.0,16.67,₹14.7-20 Cr (Moderately High)
416.0,Haryana,SATPAL BRAHAMCHARI,SONEPAT,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
417.0,West Bengal,Saumitra khan,BISHNUPUR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
418.0,Madhya Pradesh,SAVITRI THAKUR,DHAR(ST),147000000.0,ST,0.0,0.0,₹14.7 Cr (Standard)
419.0,West Bengal,SAYANI GHOSH,JADAVPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
420.0,Haryana,SELJA,SIRSA(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
421.0,Tamil Nadu,SELVAGANAPATHI T M,SALEM,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
422.0,Tamil Nadu,SELVARAJ V,NAGAPATTINAM(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
423.0,Kerala,SHAFI PARAMBIL,VADAKARA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
424.0,Bihar,SHAMBHAVI,SAMASTIPUR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
425.0,Madhya Pradesh,Shankar Lalwani,INDORE,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
426.0,Uttar Pradesh,SHASHANK MANI,DEORIA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
427.0,West Bengal,Shatrughan Sinha,ASANSOL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
428.0,Punjab,SHER SINGH GHUBAYA,FIROZPUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
429.0,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,MORENA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
430.0,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,VIDISHA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
431.0,Karnataka,SHOBHA KARANDLAJE,BANGALORE NORTH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
432.0,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
433.0,Karnataka,SHREYAS. M. PATEL,HASSAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
434.0,Haryana,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
435.0,West Bengal,Shri Abhishek Banerjee,DIAMOND HARBOUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
436.0,Punjab,Shri Amar Singh,FATEHGARH SAHIB(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
437.0,Gujarat,Shri Amit Shah,GANDHINAGAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
438.0,Madhya Pradesh,Shri Anil Firojiya,UJJAIN(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
439.0,Rajasthan,Shri Arjun Ram Meghwal,BIKANER(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
440.0,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
441.0,Karnataka,Shri B Y Raghavendra,SHIMOGA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
442.0,Kerala,Shri Benny Behanan,CHALAKUDY,164674770.11,General,17674770.110000014,12.02,₹14.7-20 Cr (Moderately High)
443.0,Odisha,Shri Bhartruhari Mahtab,CUTTACK,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
444.0,Jharkhand,Shri Chandra Prakash Choudhary,GIRIDIH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
445.0,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,General,53747364.0,36.56,₹20-25 Cr (High)
446.0,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
447.0,Rajasthan,Shri Hanuman Beniwal,NAGAUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
448.0,Kerala,Shri Hibi Eden,ERNAKULAM,162177260.11,General,15177260.110000014,10.32,₹14.7-20 Cr (Moderately High)
449.0,Bihar,Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
450.0,Odisha,Shri Jual Oram,SUNDARGARH (ST),173096756.91,ST,26096756.909999996,17.75,₹14.7-20 Cr (Moderately High)
451.0,Jammu And Kashmir,Shri Jugal Kishore Sharma,JAMMU,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
452.0,West Bengal,Shri Jyotirmay Singh Mahato,PURULIA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
453.0,Tamil Nadu,Shri Karti P Chidambaram,SIVAGANGA,159049284.11,General,12049284.110000014,8.2,₹14.7-20 Cr (Moderately High)
454.0,Kerala,Shri Kumbakudi Sudhakaran,KANNUR,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
455.0,Karnataka,Shri LS Tejasvi Surya,BANGALORE SOUTH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
456.0,Kerala,Shri M K Raghavan,KOZHIKODE,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
457.0,Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.11,General,15070276.110000014,10.25,₹14.7-20 Cr (Moderately High)
458.0,Kerala,Shri NK Premachandran,KOLLAM,171477994.11,General,24477994.110000014,16.65,₹14.7-20 Cr (Moderately High)
459.0,Rajasthan,Shri PP Chaudhary,PALI,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
460.0,Kerala,Shri Rajmohan Unnithan,KASARAGOD,156754633.11,General,9754633.110000014,6.64,₹14.7-20 Cr (Moderately High)
461.0,Assam,Shri Sarbananda Sonowal (18LS),DIBRUGARH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
462.0,Uttar Pradesh,Shri Satish Kumar Gautam,ALIGARH,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
463.0,West Bengal,Shri Shantanu Thakur,BANGAON(SC),147000000.0,SC,0.0,0.0,₹14.7 Cr (Standard)
464.0,Madhya Pradesh,Shri Sudheer Gupta,MANDSOUR,148988014.83,General,1988014.830000013,1.35,₹14.7-20 Cr (Moderately High)
465.0,Kerala,Shri Suresh Kodikunnil,MAVELIKKARA(SC),172429519.11,SC,25429519.110000014,17.3,₹14.7-20 Cr (Moderately High)
466.0,Arunachal Pradesh,Shri Tapir Gao,ARUNACHAL EAST,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
467.0,Tamil Nadu,Shri vijayakumar Vasanth,KANNIYAKUMARI,171500000.0,General,24500000.0,16.67,₹14.7-20 Cr (Moderately High)
468.0,Maharashtra,Shrikant Eknath Shinde,KALYAN,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
469.0,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
470.0,Goa,Shripad Yesso Naik,NORTH GOA,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
471.0,Maharashtra,Shrirang Appa Barne,MAVAL,147000000.0,General,0.0,0.0,₹14.7 Cr (Standard)
